id_number,Project name,Year,country,TFA,Power,Price(USD),Type of building,Type of construction,Type of contract
71,CryptoVault Data Center,2020,Hong Kong,22800,31,605000000,Trading,A&A,Build only
72,AICore Computing Hub,2019,China,31500,37,835000000,AI Center,Extension,Consultant
73,MedTech Data Facility,2021,Taiwan,17200,24,335000000,Medical,New,D&B
74,CargoNet Computing Complex,2018,Singapore,47000,40,998000000,Shipping,A&A,Build only
75,GoldCore Data Center,2022,Malaysia,24800,33,665000000,Mining,Extension,Consultant
76,AluminumForge Computing Hub,2017,Indonesia,38500,39,935000000,Smelting,New,D&B
77,CopperCore Data Facility,2023,Philippines,21800,30,575000000,Mining,A&A,Build only
78,RubberFlow Processing Center,2016,Thai,14000,19,235000000,Rubber,Extension,Consultant
79,TeaNet Data Hub,2024,Bangladesh,10500,14,145000000,Tea,New,D&B
80,AeroCore Computing Complex,2015,India,33500,38,855000000,Aerospace,A&A,Build only
81,InsureNet Data Center,2020,Hong Kong,26800,34,725000000,Insurance,Extension,Consultant
82,QuantumCore Computing Hub,2019,China,29800,36,785000000,Research,New,D&B
83,OpticNet Data Facility,2021,Taiwan,16200,22,285000000,Optics,A&A,Build only
84,LNGCore Processing Complex,2018,Singapore,45500,40,992000000,LNG,Extension,Consultant
85,IronForge Data Center,2022,Malaysia,32500,38,847000000,Mining,New,D&B
86,NickelCore Computing Hub,2017,Indonesia,23800,32,635000000,Processing,A&A,Build only
87,BuildNet Data Facility,2023,Philippines,19000,26,425000000,Materials,Extension,Consultant
88,SeaFood Processing Center,2016,Thai,11200,15,165000000,Seafood,New,D&B
89,CottonCore Data Hub,2024,Bangladesh,20800,29,555000000,Textile,A&A,Build only
90,SatelliteNet Computing Complex,2015,India,36500,39,905000000,Satellite,Extension,Consultant
91,CoinVault Data Center,2020,Hong Kong,28800,36,765000000,Crypto,New,D&B
92,FiveGCore Computing Hub,2019,China,41500,40,975000000,Telecom,A&A,Build only
93,MaterialCore Data Facility,2021,Taiwan,24200,33,645000000,Research,Extension,Consultant
94,WaterCore Processing Complex,2018,Singapore,35800,39,895000000,Water,New,D&B
95,BauxiteForge Data Center,2022,Malaysia,30500,37,815000000,Mining,A&A,Build only
96,PaperNet Computing Hub,2017,Indonesia,17500,24,355000000,Paper,Extension,Consultant
97,FurnitureCore Data Facility,2023,Philippines,12800,17,195000000,Furniture,New,D&B
98,CashewNet Processing Center,2016,Thai,9800,13,125000000,Processing,A&A,Build only
99,ShipForge Computing Complex,2024,Bangladesh,42500,40,982000000,Shipyard,Extension,Consultant
100,RailCore Data Center,2015,India,48500,40,999500000,Railway,New,D&B
